ts_server,ts_ms,conn_id,voltage,current,power_kw,energy_kwh,temp_c,enc,seq,dt,d_power,d_energy,power_ma3,power_z,label,codes
1762452461.220441,1762452461219,1,230.22,15.88,3.66,0.037,29.1,1,18,2002,0.0,0.001999999999999995,3.6666666666666665,-0.7071067811865162,NORMAL,
1762452463.221544,1762452463221,1,231.27,17.39,4.02,0.04,29.7,1,19,2002,0.35999999999999943,0.0030000000000000027,3.78,1.414213562373096,NORMAL,
1762452465.223389,1762452465222,1,227.49,15.01,3.42,0.042,27.4,1,20,2001,-0.5999999999999996,0.0020000000000000018,3.6999999999999997,-1.135549947915338,NORMAL,
1762452467.224861,1762452467224,1,227.72,16.73,3.81,0.044,29.9,1,21,2002,0.3900000000000001,0.001999999999999995,3.75,0.24135539601273923,NORMAL,
1762452469.2259278,1762452469225,1,230.55,14.56,3.36,0.046,28.0,1,22,2001,-0.4500000000000002,0.0020000000000000018,3.53,-0.8521330020990447,NORMAL,
1762452471.227649,1762452471226,1,231.42,16.51,3.82,0.048,30.0,1,23,2001,0.45999999999999996,0.0020000000000000018,3.6633333333333336,0.7302857235693772,NORMAL,
1762452473.229093,1762452473228,1,232.06,16.18,3.76,0.05,28.8,1,24,2002,-0.06000000000000005,0.0020000000000000018,3.6466666666666665,0.5550696761810882,NORMAL,
1762452475.23039,1762452475229,1,230.59,17.07,3.94,0.052,28.7,1,25,2001,0.18000000000000016,0.001999999999999995,3.84,1.3363062095621219,NORMAL,
1762452477.23163,1762452477231,1,231.74,16.48,3.82,0.054,28.1,1,26,2002,-0.1200000000000001,0.0020000000000000018,3.84,-0.26726124191242434,NORMAL,
1762452479.2336771,1762452479232,1,228.61,16.38,3.74,0.056,27.2,1,27,2001,-0.07999999999999963,0.0020000000000000018,3.8333333333333335,-1.1355499479153384,NORMAL,
1762452481.234913,1762452481234,1,227.26,17.5,3.98,0.058,27.2,1,28,2002,0.23999999999999977,0.0020000000000000018,3.846666666666667,1.336306209562118,NORMAL,
1762452483.2364008,1762452483235,1,232.32,15.75,3.66,0.06,27.5,1,29,2001,-0.31999999999999984,0.001999999999999995,3.7933333333333334,-0.9805806756909207,NORMAL,
1762452485.2380102,1762452485237,1,230.62,15.7,3.62,0.062,27.8,1,30,2002,-0.040000000000000036,0.0020000000000000018,3.753333333333334,-0.8276058886023708,NORMAL,
1762452487.2396748,1762452487238,1,228.81,14.84,3.4,0.064,28.6,1,31,2001,-0.2200000000000002,0.0020000000000000018,3.56,-1.3997084244475304,NORMAL,
1762452489.240389,1762452489239,1,230.13,14.98,3.45,0.066,27.4,1,32,2001,0.050000000000000266,0.0020000000000000018,3.4899999999999998,-0.42479539524286863,NORMAL,
1762452491.24274,1762452491241,1,227.81,15.05,3.43,0.068,27.5,1,33,2002,-0.020000000000000018,0.0020000000000000018,3.4266666666666663,0.162221421130787,NORMAL,
1762452493.244707,1762452493243,1,227.61,14.85,3.38,0.07,29.3,1,34,2002,-0.050000000000000266,0.0020000000000000018,3.4200000000000004,-1.3587324409735253,NORMAL,
1762452495.246196,1762452495245,1,229.6,15.27,3.51,0.072,27.1,1,35,2002,0.1299999999999999,0.001999999999999988,3.44,1.3074028933658484,NORMAL,
1762452497.2484019,1762452497247,1,231.45,15.87,3.67,0.074,28.1,1,36,2002,0.16000000000000014,0.0020000000000000018,3.5199999999999996,1.264723711468524,NORMAL,
1762452499.2494981,1762452499249,1,232.57,17.26,4.01,0.076,28.5,1,37,2002,0.33999999999999986,0.0020000000000000018,3.73,1.3430119067212658,NORMAL,
1762452501.2515771,1762452501250,1,227.37,15.36,3.49,0.078,29.8,1,38,2001,-0.5199999999999996,0.0020000000000000018,3.723333333333333,-1.0821867246804349,NORMAL,
1762452503.253813,1762452503252,1,228.74,16.9,3.87,0.08,28.7,1,39,2002,0.3799999999999999,0.0020000000000000018,3.7900000000000005,0.36413827742064125,NORMAL,
1762452505.255313,1762452505254,1,229.04,16.98,3.89,0.082,27.8,1,40,2002,0.020000000000000018,0.0020000000000000018,3.75,0.7607497338023302,NORMAL,
1762452507.256989,1762452507256,1,232.73,16.09,3.75,0.085,27.9,1,41,2002,-0.14000000000000012,0.0030000000000000027,3.8366666666666664,-1.4018260516446948,NORMAL,
1762452509.2593331,1762452509258,1,232.49,15.89,3.69,0.087,29.8,1,42,2002,-0.06000000000000005,0.001999999999999988,3.776666666666667,-1.0342244694284508,NORMAL,
1762452511.2613919,1762452511260,1,229.34,15.99,3.67,0.089,28.2,1,43,2002,-0.020000000000000018,0.0020000000000000018,3.703333333333333,-0.980580675690916,NORMAL,
1762452513.263456,1762452513262,1,231.76,15.13,3.51,0.091,27.8,1,44,2002,-0.16000000000000014,0.0020000000000000018,3.623333333333333,-1.4069300106240235,NORMAL,
1762452515.265457,1762452515264,1,230.56,16.66,3.84,0.093,27.3,1,45,2002,0.33000000000000007,0.0020000000000000018,3.6733333333333333,1.2369267399882322,NORMAL,
1762452517.267159,1762452517266,1,230.76,14.87,3.43,0.095,27.1,1,46,2002,-0.4099999999999997,0.0020000000000000018,3.5933333333333333,-0.9204414270375462,NORMAL,
1762452519.268595,1762452519267,1,230.5,17.04,3.93,0.097,29.5,1,47,2001,0.5,0.0020000000000000018,3.733333333333333,0.9037437127104846,NORMAL,
1762452521.270367,1762452521269,1,229.56,16.57,3.8,0.099,29.8,1,48,2002,-0.13000000000000034,0.0020000000000000018,3.72,0.37768356291987365,NORMAL,
1762452523.272541,1762452523271,1,231.33,14.56,3.37,0.101,28.0,1,49,2002,-0.4299999999999997,0.0020000000000000018,3.7000000000000006,-1.3789959398400948,NORMAL,
1762452525.274561,1762452525273,1,231.66,17.44,4.04,0.103,29.0,1,50,2002,0.6699999999999999,0.001999999999999988,3.736666666666667,1.0944015632310407,NORMAL,
1762452527.27503,1762452527274,1,227.65,17.27,3.93,0.105,27.9,1,51,2001,-0.10999999999999988,0.0020000000000000018,3.78,0.5112976156240475,NORMAL,
1762452529.277757,1762452529276,1,232.99,14.75,3.44,0.107,28.1,1,52,2002,-0.4900000000000002,0.0020000000000000018,3.8033333333333332,-1.3930921189023333,NORMAL,
1762452531.279372,1762452531278,1,229.8,14.71,3.38,0.109,27.4,1,53,2002,-0.06000000000000005,0.0020000000000000018,3.5833333333333335,-0.8253800873167452,NORMAL,
1762452533.281599,1762452533280,1,228.25,15.3,3.49,0.111,27.8,1,54,2002,0.11000000000000032,0.0020000000000000018,3.436666666666667,1.1859989066577563,NORMAL,
1762452535.282743,1762452535282,1,227.57,14.57,3.32,0.113,27.2,1,55,2002,-0.17000000000000037,0.0020000000000000018,3.3966666666666665,-1.0890815647638676,NORMAL,
1762452537.284651,1762452537283,1,228.38,15.06,3.44,0.115,28.8,1,56,2001,0.1200000000000001,0.0020000000000000018,3.4166666666666665,0.3270885194611991,NORMAL,
1762452539.2858229,1762452539285,1,228.39,15.39,3.51,0.117,29.6,1,57,2002,0.06999999999999984,0.0020000000000000018,3.4233333333333333,1.1046341505214246,NORMAL,
1762452541.2882361,1762452541286,1,229.95,16.72,3.84,0.119,28.5,1,58,2001,0.33000000000000007,0.001999999999999988,3.5966666666666662,1.3951025682869738,NORMAL,
1762452543.2903,1762452543289,1,229.35,16.8,3.85,0.121,29.6,1,59,2003,0.010000000000000231,0.0020000000000000018,3.733333333333333,0.7385215429876205,NORMAL,
1762452545.292342,1762452545291,1,228.68,15.14,3.46,0.123,29.8,1,60,2002,-0.3900000000000001,0.0020000000000000018,3.7166666666666663,-1.4138559108869002,NORMAL,
1762452547.2942138,1762452547293,1,231.48,14.83,3.43,0.125,27.8,1,61,2002,-0.029999999999999805,0.0020000000000000018,3.58,-0.7840625602339745,NORMAL,
1762452549.2959669,1762452549295,1,231.95,15.44,3.58,0.127,29.4,1,62,2002,0.1499999999999999,0.0020000000000000018,3.49,1.3887301496588251,NORMAL,
1762452551.298211,1762452551296,1,229.5,16.68,3.83,0.129,27.5,1,63,2001,0.25,0.0020000000000000018,3.6133333333333333,1.3131983079178748,NORMAL,
1762452553.300344,1762452553299,1,230.18,15.87,3.65,0.131,28.7,1,64,2003,-0.18000000000000016,0.0020000000000000018,3.686666666666667,-0.3481989158081089,NORMAL,
1762452555.302258,1762452555301,1,230.93,16.05,3.71,0.133,28.4,1,65,2002,0.06000000000000005,0.0020000000000000018,3.7300000000000004,-0.2672612419124303,NORMAL,
1762452557.303851,1762452557303,1,232.85,17.02,3.96,0.135,27.5,1,66,2002,0.25,0.0020000000000000018,3.7733333333333334,1.390473133999662,NORMAL,
1762452559.305063,1762452559304,1,227.65,16.17,3.68,0.137,28.7,1,67,2001,-0.2799999999999998,0.0020000000000000018,3.783333333333333,-0.8232345301786225,NORMAL,
1762452561.306222,1762452561305,1,230.91,16.86,3.89,0.139,29.5,1,68,2001,0.20999999999999996,0.0020000000000000018,3.8433333333333337,0.39223227027636615,NORMAL,
1762452563.3083022,1762452563307,1,230.02,16.02,3.69,0.141,29.6,1,69,2002,-0.20000000000000018,0.001999999999999974,3.7533333333333334,-0.6547832409557999,NORMAL,
1762452565.310314,1762452565309,1,230.65,16.31,3.76,0.143,29.9,1,70,2002,0.06999999999999984,0.0020000000000000018,3.78,-0.24135539601273884,NORMAL,
1762452567.311627,1762452567310,1,227.53,14.56,3.31,0.145,27.9,1,71,2001,-0.44999999999999973,0.0020000000000000018,3.5866666666666664,-1.399362317209737,NORMAL,
1762452569.3120482,1762452569311,1,227.36,14.78,3.36,0.147,27.6,1,72,2001,0.04999999999999982,0.0020000000000000018,3.4766666666666666,-0.579324122021658,NORMAL,
1762452571.313223,1762452571312,1,228.79,15.02,3.44,0.149,28.4,1,73,2001,0.08000000000000007,0.0020000000000000018,3.3699999999999997,1.3074028933658557,NORMAL,
1762452573.3144782,1762452573313,1,229.74,16.82,3.86,0.151,28.9,1,74,2001,0.41999999999999993,0.0020000000000000018,3.5533333333333332,1.3984411707141076,NORMAL,
1762452575.316034,1762452575315,1,231.03,14.89,3.44,0.153,27.0,1,75,2002,-0.41999999999999993,0.0020000000000000018,3.58,-0.7071067811865482,NORMAL,
1762452577.3175821,1762452577316,1,232.56,14.83,3.45,0.155,28.0,1,76,2001,0.010000000000000231,0.0020000000000000018,3.5833333333333335,-0.6814003538683309,NORMAL,
1762452579.3191528,1762452579318,1,231.26,16.68,3.86,0.157,27.9,1,77,2002,0.4099999999999997,0.0020000000000000018,3.5833333333333335,1.4139057342767853,NORMAL,
1762452581.319914,1762452581319,1,229.36,16.59,3.81,0.159,28.7,1,78,2001,-0.04999999999999982,0.0020000000000000018,3.706666666666667,0.565791410374262,NORMAL,
1762452583.321506,1762452583320,1,228.11,15.56,3.55,0.161,29.8,1,79,2001,-0.26000000000000023,0.0020000000000000018,3.7399999999999998,-1.3981679606575825,NORMAL,
1762452585.323126,1762452585322,1,230.83,15.64,3.61,0.163,28.2,1,80,2002,0.06000000000000005,0.0020000000000000018,3.6566666666666663,-0.4198321007328444,NORMAL,
1762452587.3245718,1762452587323,1,229.29,17.34,3.98,0.166,28.5,1,81,2001,0.3700000000000001,0.0030000000000000027,3.7133333333333334,1.4024300623922954,NORMAL,
1762452589.3268008,1762452589325,1,228.69,17.21,3.94,0.168,28.9,1,82,2002,-0.040000000000000036,0.0020000000000000018,3.8433333333333333,0.5830397305544555,NORMAL,
1762452591.3288,1762452591327,1,229.92,15.61,3.59,0.17,29.6,1,83,2002,-0.3500000000000001,0.0020000000000000018,3.8366666666666664,-1.4080558543328703,NORMAL,
1762452593.3308191,1762452593329,1,230.54,14.77,3.41,0.172,29.6,1,84,2002,-0.17999999999999972,0.001999999999999974,3.6466666666666665,-1.0755107008086537,NORMAL,
1762452595.332927,1762452595331,1,228.49,15.94,3.64,0.174,27.2,1,85,2002,0.22999999999999998,0.0020000000000000018,3.546666666666667,0.9449542298879577,NORMAL,
1762452597.335278,1762452597334,1,230.99,15.5,3.58,0.176,29.7,1,86,2003,-0.06000000000000005,0.0020000000000000018,3.5433333333333334,0.3764122509560348,NORMAL,
1762452599.3367538,1762452599336,1,229.48,14.79,3.39,0.177,28.2,1,87,2002,-0.18999999999999995,0.0010000000000000009,3.536666666666667,-1.3763447435976823,NORMAL,
1762452601.339057,1762452601337,1,228.35,15.0,3.42,0.179,28.5,1,88,2001,0.029999999999999805,0.0020000000000000018,3.4633333333333334,-0.5195844985353318,NORMAL,
1762452603.341206,1762452603339,1,227.01,14.67,3.33,0.181,29.5,1,89,2002,-0.08999999999999986,0.0020000000000000018,3.3800000000000003,-1.3363062095621308,NORMAL,
1762452605.342944,1762452605341,1,231.02,14.88,3.44,0.183,29.0,1,90,2002,0.10999999999999988,0.0020000000000000018,3.3966666666666665,0.9057529185791063,NORMAL,
1762452607.34397,1762452607343,1,231.51,15.14,3.51,0.185,30.0,1,91,2002,0.06999999999999984,0.0020000000000000018,3.4266666666666663,1.1248031766646225,NORMAL,
1762452609.345719,1762452609344,1,232.88,16.44,3.83,0.187,27.2,1,92,2001,0.3200000000000003,0.0020000000000000018,3.5933333333333333,1.3940339892914817,NORMAL,
1762452611.347903,1762452611346,1,229.89,16.26,3.74,0.189,28.9,1,93,2002,-0.08999999999999986,0.0020000000000000018,3.6933333333333334,0.34633948719670643,NORMAL,
1762452613.3499808,1762452613348,1,227.48,15.28,3.48,0.191,28.0,1,94,2002,-0.26000000000000023,0.0020000000000000018,3.6833333333333336,-1.3701812176212687,NORMAL,
1762452615.35113,1762452615349,1,231.22,14.97,3.46,0.193,29.9,1,95,2001,-0.020000000000000018,0.0020000000000000018,3.56,-0.784062560233975,NORMAL,
1762452617.35325,1762452617351,1,230.47,15.77,3.63,0.195,28.5,1,96,2002,0.16999999999999993,0.0020000000000000018,3.5233333333333334,1.4059992805239878,NORMAL,
1762452619.3552809,1762452619354,1,228.36,16.67,3.81,0.197,29.3,1,97,2003,0.18000000000000016,0.0020000000000000018,3.6333333333333333,1.2362409236583014,NORMAL,
1762452621.357331,1762452621356,1,230.36,16.57,3.82,0.199,29.3,1,98,2002,0.009999999999999787,0.0020000000000000018,3.7533333333333334,0.7636035483212097,NORMAL,
1762452623.359355,1762452623358,1,227.23,16.32,3.71,0.201,27.1,1,99,2002,-0.10999999999999988,0.0020000000000000018,3.78,-1.4094277159494482,NORMAL,
1762452625.3614452,1762452625360,1,230.48,15.9,3.66,0.203,28.4,1,100,2002,-0.04999999999999982,0.0020000000000000018,3.73,-1.047384802913014,NORMAL,
1762452627.36346,1762452627362,1,231.59,16.25,3.76,0.206,28.6,1,101,2002,0.09999999999999964,0.002999999999999975,3.7099999999999995,1.2247448713915998,NORMAL,
1762452629.3651469,1762452629364,1,231.6,16.19,3.75,0.208,27.6,1,102,2002,-0.009999999999999787,0.0020000000000000018,3.723333333333333,0.5929994533288864,NORMAL,
1762452631.367332,1762452631366,1,232.05,14.81,3.44,0.21,29.2,1,103,2002,-0.31000000000000005,0.0020000000000000018,3.65,-1.4136793929253808,NORMAL,
1762452633.369366,1762452633368,1,231.31,15.21,3.52,0.212,27.9,1,104,2002,0.08000000000000007,0.0020000000000000018,3.57,-0.38050971707387937,NORMAL,
1762452635.371104,1762452635369,1,232.85,16.03,3.73,0.214,28.0,1,105,2001,0.20999999999999996,0.0020000000000000018,3.563333333333333,1.362848167001796,NORMAL,
1762452637.3732128,1762452637371,1,228.0,17.0,3.88,0.216,28.3,1,106,2002,0.1499999999999999,0.0020000000000000018,3.7099999999999995,1.1513852845136168,NORMAL,
1762452639.375135,1762452639373,1,232.8,15.96,3.72,0.218,28.7,1,107,2002,-0.1599999999999997,0.0020000000000000018,3.776666666666667,-0.7743287817462716,NORMAL,
1762452641.377262,1762452641375,1,232.89,14.82,3.45,0.22,28.9,1,108,2002,-0.27,0.0020000000000000018,3.6833333333333336,-1.314916324339354,NORMAL,
1762452643.379337,1762452643378,1,229.1,14.51,3.33,0.222,27.9,1,109,2003,-0.1200000000000001,0.0020000000000000018,3.5,-1.0423368771244412,NORMAL,
1762452645.3814101,1762452645380,1,232.61,16.48,3.83,0.224,27.9,1,110,2002,0.5,0.0020000000000000018,3.5366666666666666,1.3763447435976803,NORMAL,
1762452647.383392,1762452647382,1,231.4,17.38,4.02,0.226,29.7,1,111,2002,0.1899999999999995,0.0020000000000000018,3.7266666666666666,1.007971377351408,NORMAL,
1762452649.385219,1762452649383,1,230.81,17.02,3.93,0.228,29.5,1,112,2001,-0.08999999999999941,0.0020000000000000018,3.9266666666666663,0.04295367795876261,NORMAL,
1762452651.387105,1762452651385,1,227.01,16.88,3.83,0.23,27.1,1,113,2002,-0.10000000000000009,0.0020000000000000018,3.9266666666666663,-1.2456566608039152,NORMAL,
1762452653.3892548,1762452653387,1,227.54,17.1,3.89,0.232,27.7,1,114,2002,0.06000000000000005,0.0020000000000000018,3.8833333333333333,0.16222142113076612,NORMAL,
1762452655.391362,1762452655390,1,230.57,17.03,3.93,0.235,29.7,1,115,2003,0.040000000000000036,0.002999999999999975,3.8833333333333333,1.1355499479153413,NORMAL,
1762452657.3934379,1762452657392,1,227.54,14.77,3.36,0.236,30.0,1,116,2002,-0.5700000000000003,0.0010000000000000009,3.7266666666666666,-1.4114168287941111,NORMAL,
1762452659.3955798,1762452659394,1,230.32,14.57,3.36,0.238,29.4,1,117,2002,0.0,0.0020000000000000018,3.5500000000000003,-0.7071067811865487,NORMAL,
1762452661.397674,1762452661396,1,231.81,16.14,3.74,0.24,28.0,1,118,2002,0.38000000000000034,0.0020000000000000018,3.486666666666667,1.4142135623730943,NORMAL,
1762452663.399744,1762452663398,1,230.82,16.93,3.91,0.243,29.9,1,119,2002,0.16999999999999993,0.0030000000000000027,3.67,1.0438071744351398,NORMAL,
1762452665.401819,1762452665400,1,227.38,15.25,3.47,0.245,27.6,1,120,2002,-0.43999999999999995,0.0020000000000000018,3.706666666666667,-1.3063306095609821,NORMAL,
1762452667.4034,1762452667402,1,228.69,16.84,3.85,0.247,29.6,1,121,2002,0.3799999999999999,0.0020000000000000018,3.7433333333333336,0.547508728663323,NORMAL,
1762452669.404993,1762452669404,1,230.88,16.79,3.88,0.249,29.2,1,122,2002,0.029999999999999805,0.0020000000000000018,3.733333333333333,0.7859649522657962,NORMAL,
1762452671.407236,1762452671406,1,231.85,16.16,3.75,0.251,28.3,1,123,2002,-0.1299999999999999,0.0020000000000000018,3.8266666666666667,-1.3794483309793548,NORMAL,
1762452673.408104,1762452673407,1,227.82,14.76,3.36,0.253,29.6,1,124,2001,-0.3900000000000001,0.0020000000000000018,3.6633333333333336,-1.3728129459672898,NORMAL,
1762452675.410605,1762452675409,1,227.67,16.72,3.81,0.255,28.0,1,125,2002,0.4500000000000002,0.0020000000000000018,3.64,0.8521330020990447,NORMAL,
1762452677.412747,1762452677411,1,231.29,16.78,3.88,0.257,27.7,1,126,2002,0.06999999999999984,0.0020000000000000018,3.6833333333333336,0.8535499454737044,NORMAL,
1762452679.414804,1762452679413,1,227.77,15.73,3.58,0.259,29.3,1,127,2002,-0.2999999999999998,0.0020000000000000018,3.7566666666666664,-1.3786012012141757,NORMAL,
1762452681.416951,1762452681415,1,229.82,16.53,3.8,0.261,27.4,1,128,2002,0.21999999999999975,0.0020000000000000018,3.7533333333333334,0.36791183185934395,NORMAL,
1762452683.418544,1762452683417,1,231.0,15.55,3.59,0.263,27.5,1,129,2002,-0.20999999999999996,0.0020000000000000018,3.6566666666666663,-0.6572407799007731,NORMAL,
1762452685.42056,1762452685419,1,230.16,14.68,3.38,0.265,27.5,1,130,2002,-0.20999999999999996,0.0020000000000000018,3.59,-1.224744871391589,NORMAL,
1762452687.422506,1762452687421,1,227.59,15.59,3.55,0.267,29.4,1,131,2002,0.16999999999999993,0.0020000000000000018,3.5066666666666664,0.47596381685983946,NORMAL,
1762452689.424278,1762452689423,1,232.94,17.2,4.01,0.269,27.4,1,132,2002,0.45999999999999996,0.0020000000000000018,3.6466666666666665,1.3652760392388554,NORMAL,
1762452691.426452,1762452691425,1,228.62,15.59,3.56,0.271,27.0,1,133,2002,-0.44999999999999973,0.0020000000000000018,3.7066666666666666,-0.6836717412138863,NORMAL,
1762452693.428483,1762452693427,1,232.25,14.53,3.37,0.273,27.1,1,134,2002,-0.18999999999999995,0.0020000000000000018,3.646666666666667,-1.0309167098137861,NORMAL,
1762452695.430521,1762452695429,1,228.66,16.18,3.7,0.275,27.6,1,135,2002,0.33000000000000007,0.0020000000000000018,3.543333333333333,1.1584650673508388,NORMAL,
1762452697.4325628,1762452697431,1,231.36,16.06,3.72,0.277,29.7,1,136,2002,0.020000000000000018,0.0020000000000000018,3.596666666666667,0.7685020109349364,NORMAL,
1762452699.434645,1762452699433,1,227.62,15.71,3.58,0.279,29.5,1,137,2002,-0.14000000000000012,0.0020000000000000018,3.6666666666666665,-1.4018260516446948,NORMAL,
1762452701.4368262,1762452701435,1,230.35,15.3,3.52,0.281,29.6,1,138,2002,-0.06000000000000005,0.0020000000000000018,3.606666666666667,-1.0342244694284508,NORMAL,
1762452703.438874,1762452703437,1,231.25,16.01,3.7,0.283,28.9,1,139,2002,0.18000000000000016,0.0019999999999999463,3.6,1.3363062095621219,NORMAL,
1762452705.440636,1762452705439,1,232.91,17.47,4.07,0.285,27.7,1,140,2002,0.3700000000000001,0.0020000000000000018,3.7633333333333336,1.339395572716273,NORMAL,
1762452707.442546,1762452707441,1,229.89,15.42,3.54,0.287,28.6,1,141,2002,-0.5300000000000002,0.0020000000000000018,3.77,-1.0362182726264928,NORMAL,
1762452709.44465,1762452709443,1,227.15,15.53,3.53,0.289,29.4,1,142,2002,-0.010000000000000231,0.0020000000000000018,3.7133333333333334,-0.7268369840597935,NORMAL,
1762452711.446635,1762452711445,1,232.85,17.37,4.04,0.292,29.4,1,143,2002,0.5100000000000002,0.0030000000000000027,3.703333333333333,1.414005656033937,NORMAL,
1762452713.448717,1762452713447,1,227.32,16.58,3.77,0.294,27.3,1,144,2002,-0.27,0.0020000000000000018,3.78,-0.048001536073730894,NORMAL,
1762452715.450786,1762452715449,1,230.59,16.6,3.83,0.296,29.4,1,145,2002,0.06000000000000005,0.0020000000000000018,3.8800000000000003,-0.4319342127906824,NORMAL,
1762452717.452855,1762452717451,1,230.41,16.46,3.79,0.298,28.3,1,146,2002,-0.040000000000000036,0.0020000000000000018,3.796666666666667,-0.2672612419124303,NORMAL,
1762452719.454732,1762452719453,1,228.21,15.82,3.61,0.3,27.7,1,147,2002,-0.18000000000000016,0.0020000000000000018,3.7433333333333336,-1.3934660285832385,NORMAL,
1762452721.456914,1762452721455,1,231.21,16.04,3.71,0.302,27.7,1,148,2002,0.10000000000000009,0.0020000000000000018,3.703333333333333,0.09053574604252054,NORMAL,
1762452723.458996,1762452723457,1,229.62,15.07,3.46,0.304,28.5,1,149,2002,-0.25,0.0020000000000000018,3.5933333333333337,-1.2977713690461044,NORMAL,
1762452725.460903,1762452725459,1,227.9,15.78,3.6,0.306,27.5,1,150,2002,0.14000000000000012,0.0020000000000000018,3.59,0.09774528186766346,NORMAL,
1762452727.462948,1762452727461,1,229.72,15.9,3.65,0.308,30.0,1,151,2002,0.04999999999999982,0.0020000000000000018,3.5700000000000003,0.9948320067476093,NORMAL,
1762452729.4648,1762452729463,1,227.61,14.65,3.33,0.31,29.6,1,152,2002,-0.31999999999999984,0.0020000000000000018,3.526666666666667,-1.3992204160811854,NORMAL,
1762452731.466811,1762452731465,1,230.83,15.2,3.51,0.312,28.3,1,153,2002,0.17999999999999972,0.0020000000000000018,3.4966666666666666,0.10179731971185653,NORMAL,
1762452733.468904,1762452733467,1,228.41,14.92,3.41,0.314,28.3,1,154,2002,-0.09999999999999964,0.0020000000000000018,3.4166666666666665,-0.09053574604251474,NORMAL,
1762452735.4709241,1762452735469,1,232.8,17.22,4.01,0.316,28.2,1,155,2002,0.5999999999999996,0.0020000000000000018,3.643333333333333,1.3970013970020962,NORMAL,
1762452737.472987,1762452737471,1,229.6,15.97,3.67,0.318,27.4,1,156,2002,-0.33999999999999986,0.0020000000000000018,3.6966666666666668,-0.1085450708258522,NORMAL,
1762452739.47513,1762452739473,1,230.58,15.47,3.57,0.32,27.4,1,157,2002,-0.10000000000000009,0.0020000000000000018,3.75,-0.9557896392964658,NORMAL,
1762452741.477157,1762452741475,1,230.24,15.21,3.5,0.322,30.0,1,158,2002,-0.06999999999999984,0.0020000000000000018,3.58,-1.146764358161993,NORMAL,
1762452743.479145,1762452743477,1,229.02,16.58,3.8,0.324,29.6,1,159,2002,0.2999999999999998,0.0020000000000000018,3.6233333333333335,1.3786012012141757,NORMAL,
1762452745.481039,1762452745479,1,227.32,15.04,3.42,0.326,29.1,1,160,2002,-0.3799999999999999,0.0020000000000000018,3.573333333333333,-0.9374100178301032,NORMAL,
1762452747.4831429,1762452747481,1,229.78,16.81,3.86,0.328,29.9,1,161,2002,0.43999999999999995,0.0020000000000000018,3.6933333333333334,0.855482388536443,NORMAL,
